Procuring Entity (PE),Region,Province,City/Municipality,Government Branch,PE Organization Type,PE Organization Type (Grouped),Bid Reference No.,Notice Title,Classification,Procurement Mode,Business Category,Funding Source,Funding Instrument,Trade Agreement,Approved Budget of the Contract,Published Date,Closing Date,Area of Delivery,Contract Duration,Calendar Type,Line Item No,Item Name,Item Description,Quantity,UOM,Item Budget,Bid Notice Status,Award Reference No.,Award Title,UNSPSC Code,UNSPSC Description,Published Date(Award),Award Date,Contract Amount,Award Notice Status,Notice to Proceed Date,Contract Effectivity Date,Contract End Date,Awardee Organization Name,Country of Awardee,Region of Awardee,Province of Awardee,City/Municipality of Awardee,Awardee Size,Awardee Joint Venture
"MUNICIPALITY OF TAGOLOAN, MISAMIS ORIENTAL",Region X,Misamis Oriental,Tagoloan,Executive,Municipal Government,Local Government Units (LGU),0,Improvement of Child Development Center/Daycare at Sto. Niño Barangay Baluarte,Civil Works,Negotiated Procurement - Defense Cooperation Agreement (Sec. 53.8),Construction Projects,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,700000.00,NULL,NULL,Misamis Oriental,46,NULL,1,Construction projects,1 lot Mobilization/Demobilization and 15 Other Items by Contract,1,Lump Sum,700000.00,Awarded,5118190,Improvement of Child Development Center/Daycare at Sto. Niño Barangay Baluarte,72000000,Building and Facility Construction and Maintenance Services,10/10/2024,29/08/2024,698886.44,Updated,12/09/2024,10/09/2024,15/11/2024,CAGALAWAN ENTERPRISES INC.,Philippines,Region X,Misamis Oriental,Opol,Large,NULL
"BARANGAY STA. MONICA, OTON, ILOILO",Region VI,Iloilo,Oton,Executive,Barangay,Local Government Units (LGU),0,CONSTRUCTION OF ADDITIONAL CONCRETE BLEACHERS OF STA. MONICA MULTI-PURPOSE GYM,Civil Works,Negotiated Procurement - Defense Cooperation Agreement (Sec. 53.8),Construction Materials and Supplies,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,899998.19,11/11/2024,NULL,Iloilo,50,NULL,1,CONSTRUCTION OF ADDITIONAL CONCRETE BLEACHERS OF S,ITEM 101 CLEARING AND GRUBBING ITEM 102 EXCAVATION SPCL 1 FILLING MATERIALS ITEM 704 MASONRY WORKS ITEM 1027 CEMENT PLASTER PLAIN FINISH ITEM 900 REINFORCED CONCRETE WORKS ( Floor Slab and Bleachers) SPCL 2 PAINTING WORKS,1,Lot,899998.19,Awarded,5152779,CONSTRUCTION OF ADDITIONAL CONCRETE BLEACHERS OF STA. MONICA MULTI-PURPOSE GYM,72000000,Building and Facility Construction and Maintenance Services,11/11/2024,30/10/2024,899998.19,Posted,NULL,NULL,NULL,MADALOGDOG CONSTRUCTION SERVICES,Philippines,Region VI,Iloilo,Maasin,Micro,NULL
"MUNICIPALITY OF TAGOLOAN, MISAMIS ORIENTAL",Region X,Misamis Oriental,Tagoloan,Executive,Municipal Government,Local Government Units (LGU),0,Repair and Maintenance -School Building & Structure (QUAMC OFFICE),Goods,Negotiated Procurement - Defense Cooperation Agreement (Sec. 53.8),Hardware and Construction Supplies,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,332358.50,NULL,NULL,Misamis Oriental,15,NULL,1,Hardware's and Construction Supplies,101 bags Portland Cement and 71 Other Items,1,Lot,332358.50,Awarded,5118060,Repair and Maintenance -School Building & Structure (QUAMC OFFICE),30000000,Structures and Building and Construction and Manufacturing Components and Supplies,10/10/2024,23/09/2024,332039.50,Updated,08/10/2024,07/10/2024,24/10/2024,EC BUILDERS & SUPPLY,Philippines,Region X,Misamis Oriental,Cagayan De Oro City,Micro,NULL
"MUNICIPALITY OF TAGOLOAN, MISAMIS ORIENTAL",Region X,Misamis Oriental,Tagoloan,Executive,Municipal Government,Local Government Units (LGU),0,Purchase Mono-Block Chair w/ Arm Rest,Goods,Negotiated Procurement - Defense Cooperation Agreement (Sec. 53.8),Fixtures,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,650000.00,NULL,NULL,Misamis Oriental,15,NULL,1,Fixtures,Mono Block Chair w/Armrest,1,Lot,650000.00,Awarded,5172683,Purchase Mono-Block Chair w/ Arm Rest,56000000,Furniture and Furnishings,13/11/2024,12/12/2023,633750.00,Updated,15/01/2024,11/01/2024,21/02/2024,DIAMOND TRADING,Philippines,Region XI,Davao Del Norte,Tagum City,Micro,NULL
"MUNICIPALITY OF TAGOLOAN, MISAMIS ORIENTAL",Region X,Misamis Oriental,Tagoloan,Executive,Municipal Government,Local Government Units (LGU),0,Construction of 700SQ.M Impounding Facility Riprap Canal and 1000SQ.M Communal Gardening (Materials Only),Goods,Negotiated Procurement - Defense Cooperation Agreement (Sec. 53.8),Hardware and Construction Supplies,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1518050.10,NULL,NULL,Misamis Oriental,7,NULL,1,Hardware's and Construction Supplies,1 sledge Hammer(267 bd.ft. 2x2x20' Coco Lumber and 35 Other Items,1,Lot,1518050.10,Awarded,5161129,Construction of 700SQ.M Impounding Facility Riprap Canal and 1000SQ.M Communal Gardening (Materials Only),30000000,Structures and Building and Construction and Manufacturing Components and Supplies,07/11/2024,03/10/2024,1517592.00,Updated,15/10/2024,14/10/2024,04/11/2024,EC BUILDERS & SUPPLY,Philippines,Region X,Misamis Oriental,Cagayan De Oro City,Micro,NULL
"MUNICIPALITY OF TAGOLOAN, MISAMIS ORIENTAL",Region X,Misamis Oriental,Tagoloan,Executive,Municipal Government,Local Government Units (LGU),0,Procurement of Goods for Improvement of Registrar (Materials Only) for Tagoloan Community College (TCC),Goods,Negotiated Procurement - Defense Cooperation Agreement (Sec. 53.8),Hardware and Construction Supplies,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1007916.00,NULL,NULL,Misamis Oriental,15,NULL,1,Hardware's and Construction Supplies,43 sheet Laminated Marine Plywood 3/4 and 24 Other Items,1,Package,1007916.00,Awarded,5220271,Procurement of Goods for Improvement of Registrar (Materials Only) for Tagoloan Community College (TCC),30000000,Structures and Building and Construction and Manufacturing Components and Supplies,05/12/2024,18/11/2024,1007910.00,Updated,28/11/2024,26/11/2024,26/12/2024,EC BUILDERS & SUPPLY,Philippines,Region X,Misamis Oriental,Cagayan De Oro City,Micro,NULL
"MUNICIPALITY OF TAGOLOAN, MISAMIS ORIENTAL",Region X,Misamis Oriental,Tagoloan,Executive,Municipal Government,Local Government Units (LGU),0,Procurement /Acquisition Generator,Goods,Negotiated Procurement - Defense Cooperation Agreement (Sec. 53.8),Office Equipment,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1500000.00,NULL,NULL,Misamis Oriental,30,NULL,1,Office Equipment,Generator 30 KVA 3 Phase Silent Type with Trailer,3,Unit,1500000.00,Awarded,5207001,Procurement /Acquisition Generator,26000000,Power Generation and Distribution Machinery and Accessories,29/11/2024,29/08/2024,1498500.00,Updated,04/10/2024,30/09/2024,02/01/2025,RCM AUDIO AND LEDWALL PROVIDER,Philippines,Region X,Camiguin,Mambajao,Micro,NULL
"BARANGAY TINAGO, LIGAO CITY",Region V,Albay,Ligao City,Executive,Barangay,Local Government Units (LGU),0,Rehabilitation of Line Canal at Purok 4,Goods,Negotiated Procurement - Defense Cooperation Agreement (Sec. 53.8),Construction Materials and Supplies,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,398194.00,NULL,NULL,Albay,7,NULL,1,Rehabilitation of Line Canal at Purok 4,construction materials,374,Bag,398194.00,Awarded,5130787,Rehabilitation of Line Canal at Purok 4,70171800,Drainage services,17/10/2024,17/10/2024,296019.00,Posted,NULL,NULL,NULL,A.M.A CONSTRUCTION SUPPLY,Philippines,Region V,Albay,Oas,Micro,NULL
"BARANGAY SAN VICENTE SOUTH, CALAPAN, ORIENTAL MINDORO",Region IV-B,Oriental Mindoro,Calapan City,Executive,Barangay,Local Government Units (LGU),0,iNFORMATION AND COMMUNICATION TECHNOLOGY SYSTEM & INFRASTRUCTURE DEVELOPMENT PURCHASE & INSTALLATION NOF CLOSED CIRCUIT TELEVISION (CCTV) SURVEILLANCE SYSTEM,Civil Works,Negotiated Procurement - Defense Cooperation Agreement (Sec. 53.8),Electronic Parts and Components,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,1999985.72,03/12/2024,NULL,NULL,NULL,NULL,1,Purchase and Installation of CCTV Surviellance,By contract of procurement of project  units of CCTV Surveillance,42,Unit,1999985.72,Awarded,5211928,iNFORMATION AND COMMUNICATION TECHNOLOGY SYSTEM & INFRASTRUCTURE DEVELOPMENT PURCHASE & INSTALLATION NOF CLOSED CIRCUIT TELEVISION (CCTV) SURVEILLANCE SYSTEM,32000000,Electronic Components and Supplies,03/12/2024,03/12/2024,1996900.82,Updated,03/12/2024,13/12/2024,31/01/2025,876 CONSTRUCTION AND SUPPLY,Philippines,Region IV-B,Oriental Mindoro,Calapan City,Micro,NULL
DEPARTMENT OF EDUCATION,NCR,Metro Manila,Pasig City,Executive,Department,National Government Agencies (NGA),0,Hiring Highly Technical Consultant,Consulting Services,Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),Consulting Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,360000.00,11/12/2024,NULL,Metro Manila,6,NULL,1,Hiring Highly Technical Consultant,Hiring Highly Technical Consultant,1,Lot,360000.00,Awarded,5234320,Hiring Highly Technical Consultant,86130000,Specialized educational services,11/12/2024,10/12/2024,360000.00,Updated,21/01/2025,22/01/2025,21/07/2025,MR ADONIS PACLEB DAVID,Philippines,NCR,Metro Manila,Manila,NULL,NULL
PHILIPPINE NATIONAL OIL COMPANY - MAIN OFFICE,NCR,Metro Manila,Taguig City,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,Highly Technical Consultant for the Office of the President and Board of Directors for Public-Private Partnership,Consulting Services,Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),Consulting Services,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,360000.00,10/10/2024,NULL,Metro Manila,6,NULL,1,Highly Technical Consultant,Highly Technical Consultant for the Office of the President and Board of Directors for Public-Private Partnership,1,Lot,360000.00,Awarded,5118095,Highly Technical Consultant for the Office of the President and Board of Directors for Public-Private Partnership,80101508,Business intelligence consulting services,10/10/2024,08/05/2024,360000.00,Updated,09/05/2024,15/05/2024,15/11/2024,ATTORNEY ALBERTO COLLANTES AGRA,Philippines,NCR,Metro Manila,Quezon City,NULL,NULL
SUBIC BAY METROPOLITAN AUTHORITY,Region III,Zambales,Olongapo City,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,CONSULTANCY AGREEMENT,Consulting Services,Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),Consulting Services,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,284000.00,NULL,NULL,Zambales,4,NULL,1,Consultancy Contract,Office Consultancy Services (Highly Technical Consultant) under the Office of the Chairman and Administrator.,1,Lot,284000.00,Awarded,5170311,CONSULTANCY AGREEMENT,80101508,Business intelligence consulting services,12/11/2024,19/09/2024,284000.00,Updated,20/09/2024,20/09/2024,31/12/2024,MS. EVELYN LOZANO NATIVIDAD,Philippines,Region III,Zambales,Olongapo City,NULL,NULL
"CITY OF CEBU, CEBU",Region VII,Cebu,Cebu City,Executive,City Government,Local Government Units (LGU),0,CCMC CONSULTANT IN THE DEPARTMENT OF INTERNAL MEDICINE,Consulting Services,Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),Consulting Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,192000.00,NULL,NULL,Cebu,6,NULL,1,CCMC CONSULTANT IN THE DEPARTMENT OF INTERNAL MEDI,HIGHLY TECHNICAL CONSULTANT,1,Unit,192000.00,Awarded,5122090,CCMC CONSULTANT IN THE DEPARTMENT OF INTERNAL MEDICINE,85000000,Healthcare Services,13/10/2024,21/06/2024,192000.00,Updated,28/06/2024,01/07/2024,31/12/2024,MS. BERNADETTE MOSCOSO,Philippines,Region VII,Cebu,Cebu City,NULL,NULL
NAYONG PILIPINO FOUNDATION,NCR,Metro Manila,Manila,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,Engagement of a Highly Technical Consultant for the Research Institute of Nayong Pilipino Foundation,Consulting Services,Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),Consulting Services,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,219823.20,NULL,NULL,Metro Manila,NULL,NULL,1,Engagement of a Highly Technical Consultant for th,Engagement of a Highly Technical Consultant for the Research Institute of Nayong Pilipino Foundation,1,Lot,219823.20,Awarded,5242299,Engagement of a Highly Technical Consultant for the Research Institute of Nayong Pilipino Foundation,90151502,Historical or cultural sites,13/12/2024,30/08/2024,219823.20,Updated,30/08/2024,30/08/2024,28/02/2025,MS MARIA KARINA GARILAO,Philippines,NCR,Metro Manila,Parañaque City,NULL,NULL
"MUNICIPALITY OF GINGOOG CITY, MISAMIS ORIENTAL",Region X,Misamis Oriental,Gingoog City,Executive,City Government,Local Government Units (LGU),0,Procurement of Legislative Consultancy Services in order to Fast Track & Legislative Process,Consulting Services,Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),Consulting Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,240000.00,NULL,NULL,Misamis Oriental,6,NULL,1,Procurement of Legislative Consultancy Services ,in order to Fast Track & Legislative Process,6,Lot,240000.00,Awarded,5109498,Procurement of Legislative Consultancy Services in order to Fast Track & Legislative Process,93101704,Legislative hearings services,07/10/2024,27/06/2024,240000.00,Updated,01/07/2024,01/07/2024,31/12/2024,MR ADONIS SURIO GONZALES,Philippines,Region X,Misamis Oriental,Cagayan De Oro City,NULL,NULL
"CITY OF CEBU, CEBU",Region VII,Cebu,Cebu City,Executive,City Government,Local Government Units (LGU),0,CCMC CONSULTANT IN THE DEPARTMENT OF INTERNAL MEDICINE,Consulting Services,Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),Consulting Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,192000.00,NULL,NULL,Cebu,6,NULL,1,CCMC CONSULTANT IN THE DEPARTMENT OF INTERNAL MEDI,HIGHLY TECHNICAL CONSULTANT,1,Unit,192000.00,Awarded,5122211,CCMC CONSULTANT IN THE DEPARTMENT OF INTERNAL MEDICINE,85000000,Healthcare Services,13/10/2024,21/06/2024,192000.00,Updated,28/06/2024,01/07/2024,31/12/2024,DR MARIA ISABEL YAP MAHINAY,Philippines,Region VII,Cebu,Cebu City,NULL,NULL
"CITY OF CEBU, CEBU",Region VII,Cebu,Cebu City,Executive,City Government,Local Government Units (LGU),0,CCMC CONSULTANT IN THE DEPARTMENT OF PEDIATRICS,Consulting Services,Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),Consulting Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,210000.00,NULL,NULL,Cebu,6,NULL,1,CCMC CONSULTANT IN THE DEPARTMENT OF PEDIATRICS,HIGHLY TECHNICAL CONSULTANT,1,Unit,210000.00,Awarded,5108324,CCMC CONSULTANT IN THE DEPARTMENT OF PEDIATRICS,85000000,Healthcare Services,04/10/2024,21/06/2024,210000.00,Updated,28/06/2024,01/07/2024,31/12/2024,MS. LEAH GAVIOLA LAFUENTE,Philippines,Region VII,Cebu,Cebu City,NULL,NULL
"MUNICIPALITY OF POLANGUI, ALBAY",Region V,Albay,Polangui,Executive,Municipal Government,Local Government Units (LGU),0,PROJECT ENGINEER CONSULTANT (OCTOBER 2024 - DECEMBER 2024),Consulting Services,Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),Consulting Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,102000.00,09/10/2024,NULL,Albay,3,NULL,1,PROJECT ENGINEER CONSULTANT (OCTOBER 2024 - DECEMB,PROJECT ENGINEER CONSULTANT (OCTOBER 2024 - DECEMBER 2024),1,Package,102000.00,Awarded,5113620,PROJECT ENGINEER CONSULTANT (OCTOBER 2024 - DECEMBER 2024),80110000,Human resources services,09/10/2024,02/10/2024,NULL,Posted,NULL,NULL,NULL,MS CHRISTINE JASMIN LOCRE SANGLAY,Philippines,Region V,Albay,Polangui,NULL,NULL
PROVINCE OF CEBU,Region VII,Cebu,Cebu City,Executive,Provincial Government,Local Government Units (LGU),0,Consulting Services for the month of July to December 2024 for District Concerns,Consulting Services,Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),Consulting Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,3402000.00,NULL,NULL,Cebu,6,NULL,1,Consulting Services,Consulting Services for the month of July to December 2024 for District Concerns,1,Lot,3402000.00,Awarded,5267466,Consulting Services for the month of July to December 2024 for District Concerns,93000000,Politics and Civic Affairs Services,26/12/2024,24/07/2024,138000.00,Posted,NULL,NULL,NULL,MR. BRADFIELD REMOTIGUE LUCERO,Philippines,Region VII,Cebu,Cebu City,NULL,NULL
MUZON PABAHAY ELEMENTARY SCHOOL,Region III,Bulacan,San Jose Del Monte City,Executive,Elementary,National Government Agencies (NGA),0,"Installation of Matting Door, Window Cover, Construction  of cencrete bench & handwashing area",Civil Works,Negotiated Procurement - United Nations Agencies (Sec. 53.13),Construction Projects,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,59012.53,18/10/2024,NULL,Bulacan,10,NULL,1,"Installation of Matting Door, Window Cover, Constr","Installation of Matting Door, Window Cover, Construction  of cencrete bench & handwashing area",1,Lot,59012.53,Awarded,5133116,"Installation of Matting Door, Window Cover, Construction  of cencrete bench & handwashing area",72000000,Building and Facility Construction and Maintenance Services,18/10/2024,18/10/2024,56799.12,Updated,21/10/2024,21/10/2024,31/10/2024,RKEA BUILDERS & SUPPLY,Philippines,Region III,Bulacan,San Jose Del Monte City,Micro,NULL
"BARANGAY SALNGAN, OTON, ILOILO",Region VI,Iloilo,Oton,Executive,Barangay,Local Government Units (LGU),0,Construction of Waiving and Display Center,Goods,Negotiated Procurement - United Nations Agencies (Sec. 53.13),Construction Materials and Supplies,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1500000.00,26/11/2024,NULL,Iloilo,NULL,NULL,1,"Cement, Stone, Gravel",Demolition Works Excavation and Backfill Aggregate Sub-Base Course Reinforced Concrete Works Masonry Works Cement Plaster Plain Finish Plumbing Works Electrical Works Doors and Windows Painting Works,1,Unit,1500000.00,Awarded,5199078,Construction of Waiving and Display Center,72000000,Building and Facility Construction and Maintenance Services,26/11/2024,26/11/2024,1494793.97,Posted,NULL,NULL,NULL,QUATRO AMIGOS BUILDERS &AMP; SUPPLY,Philippines,Region VI,Iloilo,Pototan,Micro,NULL
MUZON PABAHAY ELEMENTARY SCHOOL,Region III,Bulacan,San Jose Del Monte City,Executive,Elementary,National Government Agencies (NGA),0,LEARNING RESOURCE MATERIALS,Goods,Negotiated Procurement - United Nations Agencies (Sec. 53.13),Printing Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,308000.00,08/10/2024,NULL,Bulacan,5,NULL,1,LEARNING RESOURCE MATERIALS,Reproduction supplies for Grade 1 Learning resource materials,13,Piece,308000.00,Awarded,5111818,LEARNING RESOURCE MATERIALS,45101700,Printing accessories,08/10/2024,08/10/2024,308000.00,Updated,08/10/2024,08/10/2024,15/10/2024,MGMF TRADING,Philippines,Region III,Bulacan,San Jose Del Monte City,Micro,NULL
MUZON PABAHAY ELEMENTARY SCHOOL,Region III,Bulacan,San Jose Del Monte City,Executive,Elementary,National Government Agencies (NGA),0,3-days In-Service Training,Goods,Negotiated Procurement - United Nations Agencies (Sec. 53.13),Catering Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,154020.00,15/11/2024,NULL,Bulacan,5,NULL,1,3-days In-Service Training,"Foods and snack for Teachers of  Muzon (Pabahay 2000) E/S during 3-day INSET on November 26-28, 2024					 ",151,Pack,154020.00,Awarded,5177337,3-days In-Service Training,90101603,Catering services,15/11/2024,15/11/2024,147225.00,Updated,15/11/2024,26/11/2024,28/11/2024,CLAIRE AIRISH FOOD SERVICES,Philippines,Region III,Bulacan,San Jose Del Monte City,Micro,NULL
162508 MARANGAL ELEMENTARY SCHOOL,Region III,Bulacan,San Jose Del Monte City,Executive,Elementary,National Government Agencies (NGA),0,Sound System For Printer for Marangal E/S,Goods,Negotiated Procurement - United Nations Agencies (Sec. 53.13),Appliances,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,152040.00,NULL,NULL,Bulacan,3,NULL,1,Sound System and Printer for Marangal E/S,Sound System and Printer for Marangal E/S,8,Unit,152040.00,Awarded,4622402,Sound System For Printer for Marangal E/S,32131023,Electrical or electronic device holder,21/11/2024,15/11/2024,129343.00,Posted,NULL,NULL,NULL,CITY OF SAN JOSE DEL MONTE PUBLIC SCHOOL TEACHERS AND EMPLOYEES MULTI-PURPOSE COOPERATIVE,Philippines,Region III,Bulacan,San Jose Del Monte City,Medium,NULL
MARITIME INDUSTRY AUTHORITY (MARINA),NCR,Metro Manila,Manila,Executive,Attached Agency,National Government Agencies (NGA),0,LEASE OF VENUE FOR THE CONDUCT OF THREE-DAY WORKSHOP FOR THE MARINA-NCR's YEAR-END PERFORMANCE / PLAN ASSESSMENT & TARGET SETTING UNDER THE MARINA SPMS ON 06-08 DECEMBER 2024,Goods - General Support Services,Negotiated Procurement - United Nations Agencies (Sec. 53.13),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,366000.00,NULL,NULL,Batangas,3,NULL,1,LOV - CONDUCT OF MRO-NCR's YEPA ON 06 - 08 DECEMBE,LEASE OF VENUE FOR THE CONDUCT OF THREE-DAY WORKSHOP FOR THE MARINA-NCR's YEAR-END PERFORMANCE / PLAN ASSESSMENT & TARGET SETTING UNDER THE MARINA SPMS ON 06-08 DECEMBER 2024,1,Lot,366000.00,Awarded,4118491,LEASE OF VENUE FOR THE CONDUCT OF THREE-DAY WORKSHOP FOR THE MARINA-NCR's YEAR-END PERFORMANCE / PLAN ASSESSMENT & TARGET SETTING UNDER THE MARINA SPMS ON 06-08 DECEMBER 2024,90000000,Travel and Food and Lodging and Entertainment Services,11/12/2024,03/12/2024,366000.00,Updated,04/12/2024,06/12/2024,09/12/2024,"SPLENDIDO TAGAYTAY HOTELO, INC.",Philippines,Region IV-A,Batangas,Laurel,Micro,NULL
BICOL MEDICAL CENTER,Region V,Camarines Sur,Naga City,Executive,Hospital,National Government Agencies (NGA),11553572,Vegetables,Goods,Negotiated Procurement - NGO Participation (Sec. 53.11),Food Stuff,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,968495.00,30/11/2024,03/12/2024,Camarines Sur,0,Day/s,28,"Cassava, clean","dry, free from molds				",30,Kilo,1200.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CITY OF CAGAYAN DE ORO, MISAMIS ORIENTAL",Region X,Misamis Oriental,Cagayan De Oro City,Executive,City Government,Local Government Units (LGU),11606344,"Supply and Delivery of Aircondition; PR No. 24-2910 Dated July 26, 2024.",Goods,Negotiated Procurement - NGO Participation (Sec. 53.11),Airconditioning and Airconditioning Systems,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,100000.00,16/12/2024,19/12/2024,NULL,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MUNICIPALITY OF MANGATAREM, PANGASINAN",Region I,Pangasinan,Mangatarem,Executive,Municipal Government,Local Government Units (LGU),11489213,"Trash bins to be used for the garbage coolection/disposal to prevent foul odor at public plaza, auditorium and public market in Mangatarem, Pangasinan",Goods,Negotiated Procurement - NGO Participation (Sec. 53.11),General Merchandise,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,105000.00,18/11/2024,21/11/2024,Pangasinan,15,Day/s,1,General Merchandise,please see the attached purchase request,10,Unit,105000.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF TRADE AND INDUSTRY - MAIN,NCR,Metro Manila,Makati City,Executive,Department,National Government Agencies (NGA),11409248,Subscription to Software (Google Workspace and Colab Pro+),Goods,Negotiated Procurement - NGO Participation (Sec. 53.11),Information Technology,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,765000.00,29/10/2024,07/11/2024,NULL,0,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PHILIPPINE RUBBER RESEARCH INSTITUTE,Region IX,Zamboanga Sibugay,Ipil,Executive,Bureau,National Government Agencies (NGA),11562835,Construction Supplies,Goods,Negotiated Procurement - NGO Participation (Sec. 53.11),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,350156.25,03/12/2024,06/12/2024,NULL,30,Day/s,7,2'nail,2'nail,10,Kilo,98.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BICOL MEDICAL CENTER,Region V,Camarines Sur,Naga City,Executive,Hospital,National Government Agencies (NGA),11553572,Vegetables,Goods,Negotiated Procurement - NGO Participation (Sec. 53.11),Food Stuff,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,968495.00,30/11/2024,03/12/2024,Camarines Sur,0,Day/s,54,"Pechay, baguio	","Pechay, baguio	",100,Kilo,10000.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"SANGGUNIANG KABATAAN NG BARANGAY DIGDIGON - GOA, CAMARINES S",Region V,Camarines Sur,Goa,Executive,Barangay,Local Government Units (LGU),11517515,Computer Set and Printer,Goods,Negotiated Procurement - NGO Participation (Sec. 53.11),Office Equipment,Government of the Philippines (GOP),National Expenditure Program (NEP) for the suceeding year - Single Year,ADB Guidelines on the use of Consultants,49000.00,22/11/2024,29/11/2024,Camarines Sur,7,Day/s,2,Printer,Printer,1,Piece,-1.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PHILIPPINE RUBBER RESEARCH INSTITUTE,Region IX,Zamboanga Sibugay,Ipil,Executive,Bureau,National Government Agencies (NGA),11562835,Construction Supplies,Goods,Negotiated Procurement - NGO Participation (Sec. 53.11),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,350156.25,03/12/2024,06/12/2024,NULL,30,Day/s,3,10mm. Corr. Bar,10mm. Corr. Bar,330,Piece,195.50,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
